,Label,Outcome
1330,Adverse-effects,"urinary elimination of catecholamines, blood pressure, heart rate, or ECG"
1331,Adverse-effects,perceived impact
1332,Adverse-effects,net reductions in liver
1333,Adverse-effects,neurologic disorders
1334,Adverse-effects,lower surgical complication rate
1335,Adverse-effects,toxicity of EMP monotherapy
1336,Adverse-effects,"postoperative infections, length of stay and inflammatory markers"
1337,Adverse-effects,"fever, fatigue, and anorexia"
1338,Adverse-effects,peroperative and postoperative bleeding
1339,Adverse-effects,buccal tipping
1328,Adverse-effects,muscle protein loss
1450,Adverse-effects,glucose-lowering
1314,Adverse-effects,second malignancy
1312,Adverse-effects,healing rate
1288,Adverse-effects,office measurements
1289,Adverse-effects,decrease in the size of the epithelial defect
1290,Adverse-effects,least acceptable
1291,Adverse-effects,Palmar-plantar erythrodysesthesia
1292,Adverse-effects,reduce these complications
1293,Adverse-effects,Cardiac event rates
1294,Adverse-effects,tuberculosis
1295,Adverse-effects,Skin manifestations of inhaled corticosteroids
1296,Adverse-effects,endometritis
1297,Adverse-effects,risk of falling
1298,Adverse-effects,Fecal elastase 1 levels
1313,Adverse-effects,significant difference was found in TNF-alpha level
1299,Adverse-effects,intensity of skin erythema
1301,Adverse-effects,progression of PAH
1302,Adverse-effects,obstruction of the liver-occurred
1303,Adverse-effects,systemic side effects
1304,Adverse-effects,side effects
1305,Adverse-effects,elevations in liver function tests
1306,Adverse-effects,effect of diet and smoking intervention
1307,Adverse-effects,risks of specific complications
1308,Adverse-effects,drug-related clinical adverse events
1309,Adverse-effects,mucosal toxicity
1310,Adverse-effects,Infective complications
1311,Adverse-effects,breast cancer
1300,Adverse-effects,significant complications
2112,Adverse-effects,irritability symptoms
1451,Adverse-effects,anxiety levels
1453,Adverse-effects,forearm blood flow responses
1593,Adverse-effects,Bulbar conjunctival injection (primary sign) and itching (primary symptom)
1594,Adverse-effects,adverse experience
1595,Adverse-effects,secretin level
1596,Adverse-effects,Lethality at 22% in the plasmapheresis group with double organ failure was significantly lower ( P > 0.01 ) than in controls
1597,Adverse-effects,the concentration of thiobarbituric acid reactive substances (TBARS)
1598,Adverse-effects,patient/graft survival
1599,Adverse-effects,Hepatitis B surface antigen (HBsAg) concentrations
1600,Adverse-effects,acute adverse events (AEs)
1601,Adverse-effects,Factor VIIc activity levels
1602,Adverse-effects,uric acid
1603,Adverse-effects,Candida vaginitis
1604,Adverse-effects,prevention of recurrent pneumocystis infection
1605,Adverse-effects,incidence of related adverse events
1606,Adverse-effects,weakness
1607,Adverse-effects,graft occlusion
1608,Adverse-effects,Delayed episodes of bleeding
1609,Adverse-effects,serums lipid profiles and adverse effects
1610,Adverse-effects,post-resection hematoma
1611,Adverse-effects,"injection/infusion site, dizziness, pruritus, headache, fatigue, and nausea. Serious adverse events"
1612,Adverse-effects,"mastalgia, mammary tension, presence of nodules, nipple secretion, and the presence of adverse events"
1613,Adverse-effects,language gains
1614,Adverse-effects,regression
1615,Adverse-effects,ocular adverse events
1592,Adverse-effects,"dyspepsia, abdominal pain, diarrhea, and nausea"
1591,Adverse-effects,imatinib
1590,Adverse-effects,response duration and time to progression (TTP)
1589,Adverse-effects,complications at discharge and 60 days
1565,Adverse-effects,clinical symptom score
1566,Adverse-effects,Frequency of nasal bleeding
1567,Adverse-effects,competencies
1568,Adverse-effects,blunting of SBP drop
1569,Adverse-effects,inhibition condition
1570,Adverse-effects,Analgesic efficacy
1571,Adverse-effects,nausea/vomiting
1572,Adverse-effects,retrograde ejaculation
1573,Adverse-effects,time to reach Cmax
1574,Adverse-effects,mild diarrhoea and vomiting
1575,Adverse-effects,Changes in liver volumes
1616,Adverse-effects,contraindication to enflurane
1576,Adverse-effects,beta power
1578,Adverse-effects,hypokalemia
1579,Adverse-effects,subsequent BM and testicular relapse
1580,Adverse-effects,"dyspnea, cough, sputum amount and purulence"
1581,Adverse-effects,decrease in bronchial hyperresponsiveness
1582,Adverse-effects,nausea and anorexia
1583,Adverse-effects,"adverse events, infections and respiratory events"
1584,Adverse-effects,urticarial lesions
1585,Adverse-effects,grade of vomiting
1586,Adverse-effects,synergistic toxic effect
1588,Adverse-effects,HIV prevention
1577,Adverse-effects,blood-brain barrier
1564,Adverse-effects,low efficacy against hookworm infection
1617,Adverse-effects,incidence of NEC
1619,Adverse-effects,incidence of urinary tract infections
1648,Adverse-effects,risk of adenoma recurrence
1649,Adverse-effects,circumference measurements between affected and normal limbs ( 'delta '
1650,Adverse-effects,breast cancer mortality rate
1651,Adverse-effects,Gastrointestinal side effects were significantly less frequent with CM than EC
1652,Adverse-effects,bleeding
1653,Adverse-effects,[ Complication rate
1654,Adverse-effects,DVT
1655,Adverse-effects,Treatment failures (including relapses)
1656,Adverse-effects,neurocognitive function
1657,Adverse-effects,definite stent thrombosis
1658,Adverse-effects,rebleeding rate
1659,Adverse-effects,increased intraocular pressure
1660,Adverse-effects,Low alcoholism risk
1661,Adverse-effects,mean relative reduction of postoperative swelling of the thigh
1662,Adverse-effects,safety profiles
1663,Adverse-effects,severe diarrhea
1664,Adverse-effects,Suture line bleeding at 3 minutes
1665,Adverse-effects,MACEs
1666,Adverse-effects,drug-related side effects
1667,Adverse-effects,change in biochemical parameters [ e.g
1668,Adverse-effects,discrepancy
1669,Adverse-effects,objective or subjective side effects
1670,Adverse-effects,"C (max, ss)"
1647,Adverse-effects,unscheduled catheterization and revascularization procedures
1646,Adverse-effects,neurological deterioration at day 10
1645,Adverse-effects,postoperative bleeding
1644,Adverse-effects,granulocyte nadirs
1620,Adverse-effects,hyperpigmentation
1621,Adverse-effects,effectiveness and safety
1622,Adverse-effects,minimum yield of CD34
1623,Adverse-effects,changes in venous volume
1624,Adverse-effects,subconjunctival hemorrhage
1625,Adverse-effects,less local and systemic reactions
1626,Adverse-effects,pigmentation (delta melanin index)
1627,Adverse-effects,indexes of TCD and hemorheology
1628,Adverse-effects,complication rate (including conversions)
1629,Adverse-effects,cardiac tamponade
1630,Adverse-effects,imatinib mesylate
1618,Adverse-effects,fever > 37.5 degrees C
1631,Adverse-effects,edema and hypertension related AE
1633,Adverse-effects,fasting insulin
1634,Adverse-effects,early morning awakening
1635,Adverse-effects,adrenal suppression and loss of bone mineral density ( BMD
1636,Adverse-effects,Main toxicities
1637,Adverse-effects,"communication of adolescents and mothers, but not fathers"
1638,Adverse-effects,delayed (serum sickness) allergic reactions
1639,Adverse-effects,collective fluid
1640,Adverse-effects,CDDP-induced emesis
1641,Adverse-effects,thrombocytopenia
1642,Adverse-effects,postpartum blood loss
1643,Adverse-effects,serious adverse drug events
1632,Adverse-effects,anastomosis leak
1563,Adverse-effects,diastolic blood pressure decreased
1562,Adverse-effects,human biting
1561,Adverse-effects,"Daytime frequency, nocturia"
1482,Adverse-effects,weal volume and flare area responses
1483,Adverse-effects,changes in narcolepsy symptoms and adverse events
1484,Adverse-effects,Major adverse coronary events
1485,Adverse-effects,infectious complications
1486,Adverse-effects,systemic or local side effects
1487,Adverse-effects,"( the Aberrant Behavior Checklist, the Child and Adolescent Symptom Inventory, the Vineland Adaptive Behavior Scales, the Repetitive Behavior Scale-Revised, and the Children 's Yale-Brown Obsessive-Compulsive Scale )"
1488,Adverse-effects,overall frequency of paraesthesia
1489,Adverse-effects,occurrence of bleeding
1490,Adverse-effects,incidence of reperfusion arrhythmias-frequent ventricular premature
1491,Adverse-effects,postoperative complication
1492,Adverse-effects,nightmares
1493,Adverse-effects,urticarial rash
1494,Adverse-effects,incidence and severity
1495,Adverse-effects,number of patients with adverse events
1496,Adverse-effects,postoperative inflammation
1497,Adverse-effects,virologic failure
1498,Adverse-effects,urinary retention
1499,Adverse-effects,Cough
1500,Adverse-effects,extrapancreatic infections
1501,Adverse-effects,presyncope
1502,Adverse-effects,pruritus
1503,Adverse-effects,nausea and fatigue
1504,Adverse-effects,measure side-effects; social interaction skills; repetitive behaviours; emotion recognition and diagnostic status
1481,Adverse-effects,short array ventricular tachycardia beat
1480,Adverse-effects,bodily symptoms
1479,Adverse-effects,FEV1
1478,Adverse-effects,loss of bone mineral density (BMD)
1454,Adverse-effects,nephrotoxicity and ototoxicity
1455,Adverse-effects,grade 3 and 4 emesis
1456,Adverse-effects,prolonged progression-free survival ( PFS
1457,Adverse-effects,flushing and headache
1458,Adverse-effects,body fat
1459,Adverse-effects,number of hemorrhoidal prolapse recurrences at 2 years
1460,Adverse-effects,local and systemic reactions. Local reactions
1461,Adverse-effects,AUC (ss)
1462,Adverse-effects,"degree of cancer cell differentiation, infiltration and lymph node metastasis"
1463,Adverse-effects,reduce disability risks
1464,Adverse-effects,abdominal/pelvic pain
1505,Adverse-effects,maximum i.v. PCA morphine use
1465,Adverse-effects,mood effects
1467,Adverse-effects,"other acute hematotoxicity, acute infection rate"
1468,Adverse-effects,side effects
1469,Adverse-effects,semiquantitative nitrogen balance
1470,Adverse-effects,absorption of digoxin
1471,Adverse-effects,Dose-limiting toxicity
1472,Adverse-effects,irregular paroxysmal EEG activity
1473,Adverse-effects,without side effects
1474,Adverse-effects,systemic toxicity
1475,Adverse-effects,unacceptably toxic
1476,Adverse-effects,severe hot flashes
1477,Adverse-effects,comorbidities
1466,Adverse-effects,galactorrhoea
1506,Adverse-effects,clinical adverse experience
1507,Adverse-effects,intracerebral hematoma
1508,Adverse-effects,anastomotic recurrence
1537,Adverse-effects,Infections
1538,Adverse-effects,health-related (HR) -QoL
1539,Adverse-effects,fewer reports of tiredness and dizziness
1540,Adverse-effects,"measurement of ionized calcium, ionized magnesium, and laboratory indicators of renal function. Hemodynamic measurements, recovery"
1541,Adverse-effects,CMV infection
1542,Adverse-effects,adverse events check
1543,Adverse-effects,retinopathy
1544,Adverse-effects,SPECT defects
1545,Adverse-effects,grade IV toxicity
1546,Adverse-effects,apnea
1547,Adverse-effects,frequency or severity of opioid-related adverse effects
1536,Adverse-effects,mouth leak and the arousal index
1548,Adverse-effects,incidence of adverse effects
1550,Adverse-effects,incidence of acute rejection
1551,Adverse-effects,spinal irradiation
1552,Adverse-effects,pharmacodynamic effects of zolmitriptan
1553,Adverse-effects,increase of hemoglobin
1554,Adverse-effects,Severe and life-threatening side effects
1555,Adverse-effects,bleeding on probing (BOP)
1556,Adverse-effects,recurrent tuberculosis cases
1557,Adverse-effects,Mild side effects of minor superficial bleeding
1558,Adverse-effects,urinary tract infection
1559,Adverse-effects,activity of IM
1560,Adverse-effects,anesthesia complications
1549,Adverse-effects,protects the ovaries
1452,Adverse-effects,calculated by subtracting the electromechanical systole from the R-R interval and expressed as a percentage of the cardiac cycle (% D)
1535,Adverse-effects,PSA cut-off level
1533,Adverse-effects,aneuploidy
1509,Adverse-effects,adenoma
1510,Adverse-effects,maximum drug concentration in serum (Cmax)
1511,Adverse-effects,Overall survival
1512,Adverse-effects,treating patients with VBIV
1513,Adverse-effects,anorexia
1514,Adverse-effects,dizziness and dyspnea
1515,Adverse-effects,cessation rates
1516,Adverse-effects,eicosanoid levels
1517,Adverse-effects,localised or systemic side effects
1518,Adverse-effects,respiratory and circulatory depression
1519,Adverse-effects,Gastrointestinal side effects and hand-foot syndrome
1534,Adverse-effects,relapses
1520,Adverse-effects,absence of eosinophils in the mucosa
1522,Adverse-effects,High fever and hospitalization
1523,Adverse-effects,course of complications
1524,Adverse-effects,nausea visual analog scales
1525,Adverse-effects,Toxicity
1526,Adverse-effects,no statistically significant differences
1527,Adverse-effects,lower behavior problem scores
1528,Adverse-effects,Rate of parents that missed at least one working day
1529,Adverse-effects,blood flow
1530,Adverse-effects,incidence of adverse events
1531,Adverse-effects,no serious adverse events
1532,Adverse-effects,pharmacodynamic effects
1521,Adverse-effects,other maternal complications
1232,Adverse-effects,area under the concentration-time curve
2113,Adverse-effects,spectrum and frequency of adverse events
2115,Adverse-effects,bowel or bladder complications
2696,Adverse-effects,postoperative swelling
2697,Adverse-effects,feasible
2698,Adverse-effects,Completion rates
2699,Adverse-effects,midbuccal vertical change
2700,Adverse-effects,activates or alters thermoregulatory mechanisms
